ccd,bit,n_bpm1,n_bpm2,pcent_bpm1,pcent_bpm2,diff
23,2,72638,73410,0.8659124374389648,0.8751153945922852,-772
23,4,0,0,0.0,0.0,0
23,8,0,0,0.0,0.0,0
23,16,5,3,5.9604644775390625e-05,3.5762786865234375e-05,2
23,32,0,0,0.0,0.0,0
23,64,0,0,0.0,0.0,0
23,128,183420,183420,2.1865367889404297,2.1865367889404297,0
23,256,0,0,0.0,0.0,0
23,512,0,0,0.0,0.0,0
23,1024,16384,16384,0.1953125,0.1953125,0
23,2048,39,40,0.0004649162292480469,0.000476837158203125,-1
23,4096,0,0,0.0,0.0,0
23,8192,204800,204800,2.44140625,2.44140625,0
23,16384,115158,115158,1.3727903366088867,1.3727903366088867,0
24,0,8055524,8055523,96.02932929992676,96.0293173789978,1
24,1,14332,14332,0.1708507537841797,0.1708507537841797,0
24,2,74146,74352,0.8838891983032227,0.8863449096679688,-206
24,4,0,0,0.0,0.0,0
24,8,0,0,0.0,0.0,0
24,16,0,1,0.0,1.1920928955078125e-05,-1
24,32,0,0,0.0,0.0,0
24,64,0,0,0.0,0.0,0
24,128,183420,183420,2.1865367889404297,2.1865367889404297,0
24,256,0,0,0.0,0.0,0
24,512,0,0,0.0,0.0,0
24,1024,0,0,0.0,0.0,0
24,2048,0,0,0.0,0.0,0
24,4096,0,0,0.0,0.0,0
24,8192,204800,204800,2.44140625,2.44140625,0
24,16384,92642,92642,1.1043787002563477,1.1043787002563477,0
25,0,8025379,8025381,95.66997289657593,95.66999673843384,-2
25,1,22518,22520,0.2684354782104492,0.2684593200683594,-2
25,2,66414,66554,0.7917165756225586,0.7933855056762695,-140
25,4,0,0,0.0,0.0,0
25,8,3036,3035,0.03619194030761719,0.03618001937866211,1
25,16,11695,11698,0.13941526412963867,0.1394510269165039,-3
25,32,0,0,0.0,0.0,0
25,64,7171,7171,0.08548498153686523,0.08548498153686523,0
25,128,183420,183420,2.1865367889404297,2.1865367889404297,0
25,256,0,0,0.0,0.0,0
25,512,0,0,0.0,0.0,0
25,1024,0,0,0.0,0.0,0
25,2048,1740,1735,0.020742416381835938,0.020682811737060547,5
25,4096,0,0,0.0,0.0,0
25,8192,204800,204800,2.44140625,2.44140625,0
25,16384,108919,108919,1.2984156608581543,1.2984156608581543,0
26,0,8016721,8016714,95.56676149368286,95.56667804718018,7
26,1,14357,14357,0.17114877700805664,0.17114877700805664,0
26,2,85926,86146,1.024317741394043,1.0269403457641602,-220
26,4,0,0,0.0,0.0,0
26,8,0,0,0.0,0.0,0
26,16,0,3,0.0,3.5762786865234375e-05,-3
26,32,0,0,0.0,0.0,0
26,64,0,0,0.0,0.0,0
26,128,183420,183420,2.1865367889404297,2.1865367889404297,0
26,256,0,0,0.0,0.0,0
26,512,5735,5735,0.06836652755737305,0.06836652755737305,0
26,1024,28672,28672,0.341796875,0.341796875,0
26,2048,15,19,0.00017881393432617188,0.00022649765014648438,-4
26,4096,0,0,0.0,0.0,0
26,8192,204800,204800,2.44140625,2.44140625,0
26,16384,113336,113336,1.3510704040527344,1.3510704040527344,0
27,0,8025194,8029046,95.66776752471924,95.7136869430542,-3852
27,1,14332,14332,0.1708507537841797,0.1708507537841797,0
27,2,84291,84610,1.0048270225524902,1.0086297988891602,-319
27,4,0,0,0.0,0.0,0
27,8,5,3,5.9604644775390625e-05,3.5762786865234375e-05,2
27,16,144,109,0.00171661376953125,0.0012993812561035156,35
27,32,0,0,0.0,0.0,0
27,64,8344,4459,0.09946823120117188,0.05315542221069336,3885
27,128,183420,183420,2.1865367889404297,2.1865367889404297,0
27,256,0,0,0.0,0.0,0
27,512,0,0,0.0,0.0,0
27,1024,12288,12288,0.146484375,0.146484375,0
27,2048,66,82,0.0007867813110351562,0.0009775161743164062,-16
27,4096,0,0,0.0,0.0,0
27,8192,204800,204800,2.44140625,2.44140625,0
27,16384,105763,105763,1.2607932090759277,1.2607932090759277,0
28,0,8022270,8022266,95.63291072845459,95.63286304473877,4
28,1,14339,14341,0.17093420028686523,0.1709580421447754,-2
28,2,87219,87531,1.039731502532959,1.0434508323669434,-312
28,4,0,0,0.0,0.0,0
28,8,2,2,2.384185791015625e-05,2.384185791015625e-05,0
28,16,66,66,0.0007867813110351562,0.0007867813110351562,0
28,32,0,0,0.0,0.0,0
28,64,2376,2376,0.028324127197265625,0.028324127197265625,0
28,128,183420,183420,2.1865367889404297,2.1865367889404297,0
28,256,0,0,0.0,0.0,0
28,512,4640,4640,0.0553131103515625,0.0553131103515625,0
28,1024,8192,8192,0.09765625,0.09765625,0
28,2048,153,162,0.0018239021301269531,0.0019311904907226562,-9
28,4096,0,0,0.0,0.0,0
28,8192,204800,204800,2.44140625,2.44140625,0
28,16384,113875,113875,1.3574957847595215,1.3574957847595215,0
29,0,7964284,7964285,94.94166374206543,94.94167566299438,-1
29,1,14355,14355,0.17112493515014648,0.17112493515014648,0
29,2,87104,88121,1.038360595703125,1.0504841804504395,-1017
29,4,0,0,0.0,0.0,0
29,8,2949,2949,0.03515481948852539,0.03515481948852539,0
29,16,11993,12020,0.14296770095825195,0.14328956604003906,-27
29,32,0,0,0.0,0.0,0
29,64,20614,20614,0.24573802947998047,0.24573802947998047,0
29,128,183420,183420,2.1865367889404297,2.1865367889404297,0
29,256,0,0,0.0,0.0,0
29,512,0,0,0.0,0.0,0
29,1024,73728,73728,0.87890625,0.87890625,0
29,2048,90,101,0.0010728836059570312,0.0012040138244628906,-11
29,4096,0,0,0.0,0.0,0
29,8192,204800,204800,2.44140625,2.44140625,0
29,16384,112851,112851,1.3452887535095215,1.3452887535095215,0
30,0,8006275,8006275,95.44223546981812,95.44223546981812,0
30,1,14590,14602,0.17392635345458984,0.17406940460205078,-12
30,2,71712,72313,0.8548736572265625,0.8620381355285645,-601
30,4,0,0,0.0,0.0,0
30,8,2,2,2.384185791015625e-05,2.384185791015625e-05,0
30,16,67,67,0.0007987022399902344,0.0007987022399902344,0
30,32,0,0,0.0,0.0,0
30,64,5221,5221,0.06223917007446289,0.06223917007446289,0
30,128,183420,183420,2.1865367889404297,2.1865367889404297,0
30,256,0,0,0.0,0.0,0
30,512,18020,18020,0.2148151397705078,0.2148151397705078,0
30,1024,8192,8192,0.09765625,0.09765625,0
30,2048,20,23,0.0002384185791015625,0.0002741813659667969,-3
30,4096,0,0,0.0,0.0,0
30,8192,204800,204800,2.44140625,2.44140625,0
30,16384,114970,114970,1.370549201965332,1.370549201965332,0
31,0,3975118,3975118,47.387099266052246,47.387099266052246,0
31,1,20413,20462,0.24334192276000977,0.2439260482788086,-49
31,2,63051,63316,0.7516264915466309,0.7547855377197266,-265
31,4,0,0,0.0,0.0,0
31,8,3,3,3.5762786865234375e-05,3.5762786865234375e-05,0
31,16,73,73,0.0008702278137207031,0.0008702278137207031,0
31,32,0,0,0.0,0.0,0
31,64,7261,7261,0.08655786514282227,0.08655786514282227,0
31,128,183420,183420,2.1865367889404297,2.1865367889404297,0
31,256,0,0,0.0,0.0,0
